Date,Free Cash Flow,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provision and Write Off of Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Earnings Losses From Equity Investments,Net Foreign Currency Exchange Gain Loss,Net Income From Continuing Operations,Ticker,Repurchase Of Capital Stock,Repayment Of Debt,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Common Stock Payments,Net Short Term Debt Issuance,Long Term Debt Payments,Change In Other Current Liabilities,Change In Payable,Change In Account Payable,Change In Inventory,Depreciation,Gain Loss On Investment Securities,Provisionand Write Offof Assets,Short Term Debt Issuance,Sale Of Business,Change In Accrued Expense,Gain Loss On Sale Of PPE,Capital Expenditure Reported,Sale Of PPE,Short Term Debt Payments,Change In Tax Payable,Change In Income Tax Payable,Amortization Cash Flow,Amortization Of Intangibles,Pension And Employee Benefit Expense,Unrealized Gain Loss On Investment Securities,Net Preferred Stock Issuance,Preferred Stock Issuance,Amortization Of Securities,Other Cash Adjustment Outside Changein Cash,Interest Received Cfi,Gain Loss On Sale Of Business
2020-12-31,-19713000000.0,47248000000.0,,-1303000000.0,,,7752000000.0,9571000000.0,85000000.0,-1821000000.0,34955000000.0,34955000000.0,36000000.0,,,36250000000.0,36250000000.0,47248000000.0,-18366000000.0,-18366000000.0,-18000000.0,-17341000000.0,20275000000.0,-37616000000.0,,,,,-1007000000.0,-1303000000.0,-18410000000.0,-18410000000.0,-17335000000.0,-4195000000.0,372000000.0,-4289000000.0,-1060000000.0,2001000000.0,909000000.0,1669000000.0,250000000.0,,410000000.0,,,2246000000.0,2246000000.0,6291000000.0,,,-11941000000.0,BA,,-10998000000.0,-173000000.0,-1158000000.0,-1158000000.0,,,-10998000000.0,-222000000.0,-5363000000.0,-5363000000.0,-11002000000.0,,6493000000.0,,,,1074000000.0,,,296000000.0,,,,,,,,,,,-83000000.0,,
2023-12-31,110129000.0,0.0,0.0,-124813000.0,916000.0,2723000.0,318983000.0,151807000.0,-15000.0,167191000.0,-468903000.0,-468903000.0,43387000.0,-488455000.0,0.0,-2260000.0,-2260000.0,0.0,401152000.0,401152000.0,-2500000.0,627252000.0,979716000.0,-352464000.0,-99023000.0,-99023000.0,0.0,0.0,236000.0,,234942000.0,234942000.0,-22442000.0,20896000.0,,-11077000.0,-9593000.0,-22668000.0,-22668000.0,14285000.0,88347000.0,,1140000.0,-886000.0,-886000.0,117866000.0,117866000.0,,,,19409000.0,DOCN,-488455000.0,-2260000.0,-21575000.0,,,-488455000.0,0.0,-2260000.0,,,,,90466000.0,,15357000.0,,,,,-124813000.0,236000.0,0.0,,,27400000.0,27400000.0,,,,,1866000.0,,,
2022-12-31,74935000.0,0.0,0.0,-120217000.0,475000.0,4567000.0,151807000.0,1715425000.0,-249000.0,-1563369000.0,-610363000.0,-610363000.0,19435000.0,-600000000.0,0.0,0.0,0.0,0.0,-1148158000.0,-1148158000.0,-5400000.0,-718352000.0,978388000.0,-1696740000.0,-305170000.0,-305170000.0,-4915000.0,-4915000.0,981000.0,,195152000.0,195152000.0,-15191000.0,7378000.0,,5500000.0,-1424000.0,-26645000.0,-26645000.0,19463000.0,105829000.0,,1635000.0,-1835000.0,-1835000.0,102232000.0,102232000.0,407000.0,,,-27804000.0,DOCN,-600000000.0,0.0,-29798000.0,,,-600000000.0,0.0,0.0,,,,,83814000.0,,16551000.0,0.0,,,,-115302000.0,981000.0,0.0,,,18418000.0,18418000.0,,,0.0,0.0,-6135000.0,,1549000.0,
2021-12-31,24010000.0,1462195000.0,724384000.0,-109099000.0,2344000.0,921000.0,1715425000.0,102537000.0,5000.0,1612883000.0,1593379000.0,1593379000.0,23339000.0,374384000.0,724384000.0,1198843000.0,1262043000.0,1462195000.0,-113605000.0,-113605000.0,,0.0,0.0,0.0,-5000000.0,-5000000.0,-5636000.0,-5636000.0,494000.0,,133109000.0,133109000.0,-7858000.0,2257000.0,,9439000.0,1130000.0,-20684000.0,-20684000.0,1321000.0,61577000.0,,285000.0,-3171000.0,-3171000.0,88372000.0,88372000.0,2879000.0,,,-19503000.0,DOCN,-350000000.0,-263352000.0,-3187000.0,,,-350000000.0,-63200000.0,-200152000.0,,,,,,-556000.0,9207000.0,0.0,,,,-103463000.0,494000.0,-63200000.0,,,,,,,0.0,0.0,0.0,,0.0,
2020-12-31,-57348000.0,229925000.0,49810000.0,-115806000.0,12398000.0,605000.0,102537000.0,35886000.0,-200000.0,66851000.0,124026000.0,124026000.0,13905000.0,-1403000.0,13905000.0,53919000.0,77025000.0,168531000.0,-115633000.0,-115633000.0,,0.0,0.0,0.0,0.0,0.0,-5118000.0,-5118000.0,173000.0,,58458000.0,58458000.0,-29630000.0,-2363000.0,,2383000.0,-11198000.0,-18452000.0,-18452000.0,1160000.0,29456000.0,,1222000.0,71000.0,71000.0,75574000.0,75574000.0,13084000.0,,,-43568000.0,DOCN,-1403000.0,-176006000.0,7795000.0,,,-1403000.0,-23106000.0,-91506000.0,,,,,,12825000.0,11089000.0,61394000.0,,,,-110688000.0,173000.0,-84500000.0,,,,,,,49810000.0,49810000.0,0.0,,0.0,
2023-12-31,7254500000.0,5221100000.0,,-2357400000.0,1286900000.0,2992900000.0,4579300000.0,2583800000.0,-57800000.0,2053300000.0,-4374100000.0,-4374100000.0,259800000.0,-3054300000.0,,2992800000.0,2780000000.0,5221100000.0,-3184500000.0,-3184500000.0,-676100000.0,,,,-245900000.0,-441200000.0,,,94900000.0,,9611900000.0,9611900000.0,-108000000.0,-220300000.0,,256600000.0,,-161000000.0,-161000000.0,-112700000.0,175200000.0,,,-686400000.0,-686400000.0,1978200000.0,1978200000.0,-103200000.0,,,8468800000.0,MCD,-3054300000.0,-2441100000.0,-39600000.0,-4532800000.0,-4532800000.0,-3054300000.0,212800000.0,-2441100000.0,,50400000.0,50400000.0,16700000.0,,,,,195300000.0,206200000.0,,-2357400000.0,94900000.0,,,,,,,,,,,,,-103200000.0
2022-12-31,5487500000.0,3374500000.0,,-1899200000.0,1183500000.0,3023500000.0,2583800000.0,4709200000.0,-253800000.0,-1871600000.0,-6580200000.0,-6580200000.0,248200000.0,-3896000000.0,,1197600000.0,1172100000.0,3374500000.0,-2678100000.0,-2678100000.0,-456700000.0,,,,-361100000.0,-807000000.0,,,38900000.0,,7386700000.0,7386700000.0,-644600000.0,-546700000.0,,160600000.0,,-264100000.0,-264100000.0,-570400000.0,166700000.0,,,-345700000.0,-345700000.0,1870600000.0,1870600000.0,732700000.0,,,6177400000.0,MCD,-3896000000.0,-2202400000.0,38200000.0,-4168200000.0,-4168200000.0,-3896000000.0,25500000.0,-2202400000.0,,31300000.0,31300000.0,5600000.0,,,,,445900000.0,129300000.0,,-1899200000.0,38900000.0,,-546700000.0,-546700000.0,,,,,,,,,,732700000.0
2021-12-31,7101500000.0,1154400000.0,,-2040000000.0,1197300000.0,2403900000.0,4709200000.0,3449100000.0,-120100000.0,1380200000.0,-5595600000.0,-5595600000.0,285700000.0,-845500000.0,,-1070500000.0,-1085600000.0,1154400000.0,-2165700000.0,-2165700000.0,-53900000.0,,,,-178000000.0,-374200000.0,,,106200000.0,,9141500000.0,9141500000.0,454200000.0,-302500000.0,,509000000.0,,309900000.0,309900000.0,-339100000.0,139200000.0,,,-428300000.0,-428300000.0,1868100000.0,1868100000.0,-97800000.0,,,7545200000.0,MCD,-845500000.0,-2240000000.0,-46700000.0,-3918600000.0,-3918600000.0,-845500000.0,15100000.0,-2240000000.0,,225000000.0,225000000.0,-62200000.0,,,,,196200000.0,284000000.0,,-2040000000.0,106200000.0,,-302500000.0,-302500000.0,,,,,,,,,,-97800000.0
2020-12-31,4624400000.0,5543000000.0,,-1640800000.0,1136000000.0,1441900000.0,3449100000.0,898500000.0,80200000.0,2470400000.0,-2249000000.0,-2249000000.0,295500000.0,-907800000.0,,2238200000.0,3131300000.0,5543000000.0,-1545800000.0,-1545800000.0,57400000.0,,,,10200000.0,-66100000.0,,,27400000.0,,6265200000.0,6265200000.0,-212100000.0,,,-136700000.0,,-6800000.0,-6800000.0,-75200000.0,92400000.0,,,6400000.0,6400000.0,1751400000.0,1751400000.0,-28200000.0,,,4730500000.0,MCD,-907800000.0,-2411700000.0,-122000000.0,-3752900000.0,-3752900000.0,-907800000.0,-893100000.0,-2411700000.0,,-181100000.0,-137500000.0,-68600000.0,,,,,76300000.0,44400000.0,,-1640800000.0,27400000.0,,-43600000.0,-43600000.0,,,,,,,,,,-28200000.0
2023-01-31,327806000.0,,,-638657000.0,,,1154867000.0,1259871000.0,-34043000.0,-70961000.0,-467487000.0,-467487000.0,11704000.0,-479159000.0,,,,,-569937000.0,-569937000.0,20916000.0,47804000.0,,,0.0,0.0,,,-638657000.0,-638657000.0,966463000.0,966463000.0,-596992000.0,139425000.0,-36518000.0,-5930000.0,-180534000.0,,,-23337000.0,78075000.0,,407913000.0,3042000.0,3042000.0,291791000.0,291791000.0,-48829000.0,,,854800000.0,LULU,-479159000.0,,-32000.0,,,-479159000.0,,,-2925000.0,-71294000.0,-107280000.0,-510510000.0,,-38649000.0,,,,65364000.0,-10180000.0,,,,35986000.0,35986000.0,,,,,,,,,,
2022-01-31,994606000.0,,,-394502000.0,,,1259871000.0,1150517000.0,-6876000.0,116230000.0,-844987000.0,-844987000.0,18194000.0,-862411000.0,,,,,-427891000.0,-427891000.0,-10000000.0,-23389000.0,,-23389000.0,0.0,0.0,,,-394502000.0,-394502000.0,1389108000.0,1389108000.0,129131000.0,160208000.0,-17556000.0,342311000.0,-62296000.0,,,-18699000.0,69137000.0,,0.0,-5180000.0,-5180000.0,224206000.0,224206000.0,15191000.0,,,975322000.0,LULU,-862411000.0,,-770000.0,,,-862411000.0,,,30073000.0,238433000.0,117655000.0,-323609000.0,,15191000.0,,,,103878000.0,0.0,,,,120778000.0,120778000.0,,,,,,,,,,
2021-01-31,574110000.0,,,-229226000.0,,,1150517000.0,1093505000.0,29996000.0,27016000.0,-80788000.0,-80788000.0,15263000.0,-96051000.0,,,,,-695532000.0,-695532000.0,882000.0,-14607000.0,,-14607000.0,-452581000.0,-452581000.0,,,-229226000.0,-229226000.0,803336000.0,803336000.0,-47549000.0,54537000.0,-49056000.0,157699000.0,-124965000.0,,,-13696000.0,50797000.0,,0.0,34908000.0,34908000.0,185478000.0,185478000.0,4485000.0,,,588913000.0,LULU,-96051000.0,,-32388000.0,,,-96051000.0,,,10784000.0,58538000.0,82663000.0,-96548000.0,,4485000.0,,,,99161000.0,0.0,,,,-24125000.0,-24125000.0,,,,,,,,,,
2023-07-31,19037000000.0,0.0,700000000.0,-849000000.0,376000000.0,3571000000.0,11627000000.0,8579000000.0,-105000000.0,3153000000.0,-11626000000.0,-11626000000.0,,-4190000000.0,700000000.0,-1102000000.0,-500000000.0,0.0,-5107000000.0,-5107000000.0,-26000000.0,-3934000000.0,7122000000.0,-11056000000.0,-301000000.0,-301000000.0,,,-846000000.0,-849000000.0,19886000000.0,19886000000.0,5042000000.0,4195000000.0,5000000.0,27000000.0,,1836000000.0,734000000.0,,2353000000.0,,,-2085000000.0,-2085000000.0,1726000000.0,1726000000.0,206000000.0,,,12613000000.0,CSCO,-4890000000.0,-500000000.0,-32000000.0,-6302000000.0,-6302000000.0,-4890000000.0,-602000000.0,-500000000.0,48000000.0,27000000.0,27000000.0,-1069000000.0,1726000000.0,,31000000.0,,,,,,3000000.0,,,,,,,,,,,,,206000000.0
2022-07-31,12749000000.0,1049000000.0,660000000.0,-477000000.0,355000000.0,3663000000.0,8579000000.0,9942000000.0,-180000000.0,-1183000000.0,-15962000000.0,-15962000000.0,,-7721000000.0,660000000.0,-1895000000.0,-2501000000.0,1049000000.0,1553000000.0,1553000000.0,-15000000.0,2327000000.0,8583000000.0,-6256000000.0,-373000000.0,-373000000.0,,,-386000000.0,-477000000.0,13226000000.0,13226000000.0,-1722000000.0,211000000.0,-1615000000.0,-55000000.0,,232000000.0,-1009000000.0,,1886000000.0,,,-309000000.0,-309000000.0,1957000000.0,1957000000.0,-453000000.0,,,11812000000.0,CSCO,-8381000000.0,-3550000000.0,-122000000.0,-6224000000.0,-6224000000.0,-8381000000.0,606000000.0,-3550000000.0,535000000.0,-55000000.0,-55000000.0,-1030000000.0,1957000000.0,,55000000.0,,,,,,91000000.0,,,,,,,,,,,,,-453000000.0
2021-07-31,14762000000.0,0.0,643000000.0,-692000000.0,438000000.0,3604000000.0,9942000000.0,11812000000.0,58000000.0,-1928000000.0,-12097000000.0,-12097000000.0,,-2870000000.0,643000000.0,-3005000000.0,-3000000000.0,0.0,-5285000000.0,-5285000000.0,-56000000.0,2473000000.0,11976000000.0,-9503000000.0,-7038000000.0,-7038000000.0,,,-664000000.0,-692000000.0,15454000000.0,15454000000.0,1984000000.0,1654000000.0,-797000000.0,-53000000.0,,1470000000.0,-107000000.0,,1761000000.0,,,-384000000.0,-384000000.0,1862000000.0,1862000000.0,-354000000.0,,,10591000000.0,CSCO,-3513000000.0,-3000000000.0,-59000000.0,-6163000000.0,-6163000000.0,-3513000000.0,-5000000.0,-3000000000.0,-46000000.0,-53000000.0,-53000000.0,-244000000.0,1862000000.0,,-6000000.0,,194000000.0,,,,28000000.0,,,,,,,,,,,,,-354000000.0
2020-07-31,14656000000.0,0.0,655000000.0,-770000000.0,603000000.0,3116000000.0,11812000000.0,11772000000.0,-30000000.0,70000000.0,-18856000000.0,-18856000000.0,,-2731000000.0,655000000.0,-10190000000.0,-6720000000.0,0.0,3500000000.0,3500000000.0,-10000000.0,4428000000.0,13830000000.0,-9402000000.0,-327000000.0,-327000000.0,,,-591000000.0,-770000000.0,15426000000.0,15426000000.0,918000000.0,1611000000.0,96000000.0,141000000.0,,-904000000.0,-107000000.0,,1569000000.0,,,-38000000.0,-38000000.0,1808000000.0,1808000000.0,-138000000.0,,,11214000000.0,CSCO,-3386000000.0,-6720000000.0,81000000.0,-6016000000.0,-6016000000.0,-3386000000.0,-3470000000.0,-6720000000.0,-110000000.0,141000000.0,141000000.0,84000000.0,1808000000.0,-138000000.0,93000000.0,,224000000.0,,,,179000000.0,,-322000000.0,-322000000.0,,,,,,,,,,-138000000.0
2023-05-31,8470000000.0,33994000000.0,1192000000.0,-8695000000.0,3250000000.0,3009000000.0,9765000000.0,21383000000.0,-209000000.0,-11409000000.0,7910000000.0,7910000000.0,,-1311000000.0,1192000000.0,12944000000.0,12444000000.0,33494000000.0,-36484000000.0,-36484000000.0,,-68000000.0,1113000000.0,-1181000000.0,-27721000000.0,-27721000000.0,,,,,17165000000.0,17165000000.0,513000000.0,781000000.0,,-434000000.0,317000000.0,-151000000.0,-151000000.0,661000000.0,3547000000.0,,,-2167000000.0,-2167000000.0,6108000000.0,6108000000.0,,,,8503000000.0,ORCL,-2503000000.0,-21050000000.0,-55000000.0,-3668000000.0,-3668000000.0,-2503000000.0,500000000.0,-21050000000.0,,-434000000.0,-281000000.0,,2526000000.0,,,500000000.0,,,,-8695000000.0,,,-153000000.0,-153000000.0,3582000000.0,3582000000.0,,,,,,,,
